IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,25991 kB/s
47.76.204.76,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,13015 kB/s
8.218.243.95,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,11045 kB/s
47.76.204.76,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,9861 kB/s
8.218.243.95,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,9572 kB/s
47.237.11.182,2095,false,SIN,Asia Pacific,Singapore,225 ms,8593 kB/s
47.76.159.146,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,8459 kB/s
47.236.9.152,8880,false,SIN,Asia Pacific,Singapore,251 ms,8247 kB/s
47.237.95.156,2095,false,SIN,Asia Pacific,Singapore,228 ms,7826 kB/s
8.222.244.192,8880,false,SIN,Asia Pacific,Singapore,237 ms,7652 kB/s
47.237.95.156,8080,false,SIN,Asia Pacific,Singapore,251 ms,7373 kB/s
47.236.174.206,2095,false,SIN,Asia Pacific,Singapore,244 ms,7169 kB/s
47.237.11.182,8880,false,SIN,Asia Pacific,Singapore,219 ms,7130 kB/s
8.222.244.192,8080,false,SIN,Asia Pacific,Singapore,226 ms,7035 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,260 ms,6945 kB/s
47.237.11.182,2082,false,SIN,Asia Pacific,Singapore,215 ms,6774 kB/s
47.237.81.112,2082,false,SIN,Asia Pacific,Singapore,224 ms,6682 kB/s
8.219.237.250,8080,false,SIN,Asia Pacific,Singapore,230 ms,6550 kB/s
8.219.229.190,2082,false,SIN,Asia Pacific,Singapore,244 ms,6497 kB/s
47.236.167.231,8880,false,SIN,Asia Pacific,Singapore,241 ms,6485 kB/s
47.236.97.90,2052,false,SIN,Asia Pacific,Singapore,236 ms,6475 kB/s
47.237.11.182,2052,false,SIN,Asia Pacific,Singapore,229 ms,6445 kB/s
47.237.0.31,8880,false,SIN,Asia Pacific,Singapore,222 ms,6357 kB/s
47.237.95.156,80,false,SIN,Asia Pacific,Singapore,249 ms,6206 kB/s
47.237.95.13,2082,false,SIN,Asia Pacific,Singapore,221 ms,6205 kB/s
8.219.170.232,2052,false,SIN,Asia Pacific,Singapore,233 ms,6169 kB/s
8.219.229.190,2052,false,SIN,Asia Pacific,Singapore,233 ms,6130 kB/s
47.237.95.13,2052,false,SIN,Asia Pacific,Singapore,235 ms,6115 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,225 ms,6094 kB/s
47.236.170.225,2086,false,SIN,Asia Pacific,Singapore,232 ms,6091 kB/s
8.219.139.13,8080,false,SIN,Asia Pacific,Singapore,235 ms,6068 kB/s
47.237.82.15,80,false,SIN,Asia Pacific,Singapore,260 ms,6017 kB/s
47.237.86.185,80,false,SIN,Asia Pacific,Singapore,239 ms,5991 kB/s
47.237.86.185,2086,false,SIN,Asia Pacific,Singapore,227 ms,5978 kB/s
47.236.121.23,8080,false,SIN,Asia Pacific,Singapore,239 ms,5970 kB/s
47.237.95.140,8880,false,SIN,Asia Pacific,Singapore,225 ms,5965 kB/s
47.236.87.246,2086,false,SIN,Asia Pacific,Singapore,226 ms,5915 kB/s
47.236.158.158,2095,false,SIN,Asia Pacific,Singapore,229 ms,5860 kB/s
47.236.123.133,2095,false,SIN,Asia Pacific,Singapore,230 ms,5846 kB/s
47.236.97.90,2082,false,SIN,Asia Pacific,Singapore,251 ms,5835 kB/s
47.236.118.216,2052,false,SIN,Asia Pacific,Singapore,251 ms,5798 kB/s
47.236.158.158,2086,false,SIN,Asia Pacific,Singapore,226 ms,5782 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,226 ms,5764 kB/s
47.236.149.107,2052,false,SIN,Asia Pacific,Singapore,229 ms,5761 kB/s
47.236.83.239,8880,false,SIN,Asia Pacific,Singapore,221 ms,5758 kB/s
8.219.229.190,2086,false,SIN,Asia Pacific,Singapore,226 ms,5758 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,221 ms,5749 kB/s
47.236.10.182,8880,false,SIN,Asia Pacific,Singapore,226 ms,5744 kB/s
47.237.14.220,2082,false,SIN,Asia Pacific,Singapore,226 ms,5709 kB/s
47.236.144.156,2086,false,SIN,Asia Pacific,Singapore,227 ms,5704 kB/s
47.237.94.140,80,false,SIN,Asia Pacific,Singapore,243 ms,5680 kB/s
47.237.81.112,2086,false,SIN,Asia Pacific,Singapore,236 ms,5676 kB/s
47.236.172.71,2095,false,SIN,Asia Pacific,Singapore,229 ms,5673 kB/s
47.236.17.193,8080,false,SIN,Asia Pacific,Singapore,231 ms,5656 kB/s
47.236.169.141,80,false,SIN,Asia Pacific,Singapore,223 ms,5608 kB/s
47.236.118.216,2082,false,SIN,Asia Pacific,Singapore,230 ms,5606 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,232 ms,5581 kB/s
47.236.168.17,2095,false,SIN,Asia Pacific,Singapore,229 ms,5570 kB/s
47.236.254.120,8080,false,SIN,Asia Pacific,Singapore,224 ms,5558 kB/s
47.236.10.100,2095,false,SIN,Asia Pacific,Singapore,222 ms,5540 kB/s
47.237.92.26,2052,false,SIN,Asia Pacific,Singapore,247 ms,5535 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,241 ms,5530 kB/s
47.236.93.176,80,false,SIN,Asia Pacific,Singapore,226 ms,5516 kB/s
47.236.146.249,8880,false,SIN,Asia Pacific,Singapore,233 ms,5508 kB/s
8.219.139.13,2095,false,SIN,Asia Pacific,Singapore,230 ms,5502 kB/s
47.236.254.120,2052,false,SIN,Asia Pacific,Singapore,250 ms,5495 kB/s
47.236.205.188,8080,false,SIN,Asia Pacific,Singapore,223 ms,5491 kB/s
47.236.172.71,8880,false,SIN,Asia Pacific,Singapore,240 ms,5483 kB/s
47.236.158.158,2052,false,SIN,Asia Pacific,Singapore,235 ms,5434 kB/s
47.236.172.95,8080,false,SIN,Asia Pacific,Singapore,252 ms,5397 kB/s
47.236.169.164,2082,false,SIN,Asia Pacific,Singapore,228 ms,5394 kB/s
47.236.171.205,2052,false,SIN,Asia Pacific,Singapore,232 ms,5394 kB/s
47.236.166.131,80,false,SIN,Asia Pacific,Singapore,221 ms,5383 kB/s
8.222.244.192,2086,false,SIN,Asia Pacific,Singapore,228 ms,5376 kB/s
47.236.144.48,2082,false,SIN,Asia Pacific,Singapore,231 ms,5373 kB/s
47.237.0.31,80,false,SIN,Asia Pacific,Singapore,229 ms,5371 kB/s
47.236.205.188,8880,false,SIN,Asia Pacific,Singapore,229 ms,5363 kB/s
47.237.95.140,8080,false,SIN,Asia Pacific,Singapore,236 ms,5360 kB/s
47.237.95.13,8080,false,SIN,Asia Pacific,Singapore,240 ms,5353 kB/s
47.236.5.223,2082,false,SIN,Asia Pacific,Singapore,250 ms,5343 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,235 ms,5342 kB/s
47.236.144.196,2052,false,SIN,Asia Pacific,Singapore,226 ms,5339 kB/s
8.219.170.232,80,false,SIN,Asia Pacific,Singapore,224 ms,5332 kB/s
47.236.144.156,2082,false,SIN,Asia Pacific,Singapore,226 ms,5326 kB/s
47.236.9.152,2082,false,SIN,Asia Pacific,Singapore,233 ms,5322 kB/s
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,234 ms,5308 kB/s
8.219.139.13,2052,false,SIN,Asia Pacific,Singapore,224 ms,5306 kB/s
47.236.180.51,2052,false,SIN,Asia Pacific,Singapore,231 ms,5304 kB/s
47.237.0.31,2052,false,SIN,Asia Pacific,Singapore,230 ms,5302 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,226 ms,5278 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,222 ms,5277 kB/s
47.236.165.25,80,false,SIN,Asia Pacific,Singapore,226 ms,5264 kB/s
8.219.174.213,2082,false,SIN,Asia Pacific,Singapore,232 ms,5243 kB/s
47.236.237.90,2086,false,SIN,Asia Pacific,Singapore,226 ms,5241 kB/s
47.236.87.246,2052,false,SIN,Asia Pacific,Singapore,233 ms,5233 kB/s
47.236.10.100,8880,false,SIN,Asia Pacific,Singapore,225 ms,5231 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,227 ms,5216 kB/s
47.236.169.15,2095,false,SIN,Asia Pacific,Singapore,253 ms,5213 kB/s
47.237.95.156,2082,false,SIN,Asia Pacific,Singapore,218 ms,5210 kB/s
47.237.14.220,2095,false,SIN,Asia Pacific,Singapore,247 ms,5205 kB/s
8.222.150.197,2052,false,SIN,Asia Pacific,Singapore,226 ms,5202 kB/s
47.236.158.158,8880,false,SIN,Asia Pacific,Singapore,222 ms,5197 kB/s
8.219.237.250,80,false,SIN,Asia Pacific,Singapore,233 ms,5197 kB/s
47.236.83.239,2095,false,SIN,Asia Pacific,Singapore,226 ms,5182 kB/s
47.236.102.102,8080,false,SIN,Asia Pacific,Singapore,230 ms,5160 kB/s
47.236.121.23,2095,false,SIN,Asia Pacific,Singapore,248 ms,5158 kB/s
47.237.8.82,2086,false,SIN,Asia Pacific,Singapore,230 ms,5158 kB/s
8.219.174.213,2095,false,SIN,Asia Pacific,Singapore,225 ms,5150 kB/s
47.236.254.120,2082,false,SIN,Asia Pacific,Singapore,242 ms,5147 kB/s
47.236.254.120,80,false,SIN,Asia Pacific,Singapore,237 ms,5137 kB/s
47.237.86.185,8880,false,SIN,Asia Pacific,Singapore,231 ms,5126 kB/s
47.236.170.54,8880,false,SIN,Asia Pacific,Singapore,238 ms,5112 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,227 ms,5103 kB/s
47.236.202.91,2052,false,SIN,Asia Pacific,Singapore,225 ms,5099 kB/s
47.236.97.90,80,false,SIN,Asia Pacific,Singapore,244 ms,5098 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,229 ms,5094 kB/s
8.219.174.213,2086,false,SIN,Asia Pacific,Singapore,234 ms,5094 kB/s
47.236.121.23,2052,false,SIN,Asia Pacific,Singapore,224 ms,5086 kB/s
8.219.237.250,2082,false,SIN,Asia Pacific,Singapore,246 ms,5082 kB/s
47.236.172.71,2052,false,SIN,Asia Pacific,Singapore,222 ms,5072 kB/s
47.236.123.133,80,false,SIN,Asia Pacific,Singapore,242 ms,5071 kB/s
47.236.83.239,2086,false,SIN,Asia Pacific,Singapore,245 ms,5070 kB/s
47.236.169.15,2082,false,SIN,Asia Pacific,Singapore,219 ms,5069 kB/s
47.237.83.20,2095,false,SIN,Asia Pacific,Singapore,242 ms,5061 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,233 ms,5048 kB/s
47.236.171.205,2086,false,SIN,Asia Pacific,Singapore,234 ms,5046 kB/s
47.236.172.95,2082,false,SIN,Asia Pacific,Singapore,226 ms,5043 kB/s
47.236.9.152,80,false,SIN,Asia Pacific,Singapore,242 ms,5041 kB/s
47.236.149.107,2082,false,SIN,Asia Pacific,Singapore,228 ms,5038 kB/s
47.237.83.20,2052,false,SIN,Asia Pacific,Singapore,247 ms,5026 kB/s
8.222.150.197,2095,false,SIN,Asia Pacific,Singapore,255 ms,5025 kB/s
47.236.145.85,2095,false,SIN,Asia Pacific,Singapore,224 ms,5011 kB/s
47.236.5.223,8880,false,SIN,Asia Pacific,Singapore,228 ms,5003 kB/s
47.237.0.31,2082,false,SIN,Asia Pacific,Singapore,225 ms,5003 kB/s
47.236.174.206,2086,false,SIN,Asia Pacific,Singapore,236 ms,5001 kB/s
47.236.144.196,2086,false,SIN,Asia Pacific,Singapore,222 ms,5001 kB/s
8.219.237.250,2095,false,SIN,Asia Pacific,Singapore,228 ms,4993 kB/s
47.236.144.156,8080,false,SIN,Asia Pacific,Singapore,218 ms,4980 kB/s
47.237.92.26,2082,false,SIN,Asia Pacific,Singapore,256 ms,4976 kB/s
47.236.169.164,2095,false,SIN,Asia Pacific,Singapore,234 ms,4968 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,228 ms,4967 kB/s
8.219.229.190,8080,false,SIN,Asia Pacific,Singapore,224 ms,4965 kB/s
47.236.149.107,80,false,SIN,Asia Pacific,Singapore,225 ms,4964 kB/s
47.236.144.196,2082,false,SIN,Asia Pacific,Singapore,226 ms,4939 kB/s
47.236.253.41,8080,false,SIN,Asia Pacific,Singapore,227 ms,4933 kB/s
47.237.82.15,2086,false,SIN,Asia Pacific,Singapore,227 ms,4929 kB/s
47.236.172.95,2086,false,SIN,Asia Pacific,Singapore,225 ms,4927 kB/s
47.236.87.246,80,false,SIN,Asia Pacific,Singapore,231 ms,4926 kB/s
47.236.167.231,2095,false,SIN,Asia Pacific,Singapore,228 ms,4894 kB/s
47.236.17.193,2052,false,SIN,Asia Pacific,Singapore,239 ms,4892 kB/s
47.236.118.216,8080,false,SIN,Asia Pacific,Singapore,237 ms,4889 kB/s
47.236.168.17,2086,false,SIN,Asia Pacific,Singapore,234 ms,4885 kB/s
47.237.86.185,8080,false,SIN,Asia Pacific,Singapore,226 ms,4880 kB/s
47.236.146.249,2095,false,SIN,Asia Pacific,Singapore,228 ms,4870 kB/s
47.236.87.246,2082,false,SIN,Asia Pacific,Singapore,230 ms,4865 kB/s
8.219.170.232,2086,false,SIN,Asia Pacific,Singapore,231 ms,4855 kB/s
47.236.150.13,8080,false,SIN,Asia Pacific,Singapore,234 ms,4834 kB/s
47.236.169.141,2086,false,SIN,Asia Pacific,Singapore,222 ms,4833 kB/s
47.76.159.146,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,4829 kB/s
47.237.94.140,2082,false,SIN,Asia Pacific,Singapore,222 ms,4828 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,223 ms,4826 kB/s
47.236.205.188,80,false,SIN,Asia Pacific,Singapore,226 ms,4809 kB/s
47.236.144.156,2052,false,SIN,Asia Pacific,Singapore,230 ms,4801 kB/s
47.237.14.220,80,false,SIN,Asia Pacific,Singapore,253 ms,4800 kB/s
47.236.172.95,2052,false,SIN,Asia Pacific,Singapore,226 ms,4792 kB/s
47.237.95.13,2095,false,SIN,Asia Pacific,Singapore,229 ms,4792 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,227 ms,4791 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,225 ms,4784 kB/s
47.236.170.54,2086,false,SIN,Asia Pacific,Singapore,236 ms,4775 kB/s
47.236.165.25,2086,false,SIN,Asia Pacific,Singapore,223 ms,4775 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,229 ms,4773 kB/s
8.222.244.192,2082,false,SIN,Asia Pacific,Singapore,220 ms,4772 kB/s
8.218.243.95,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,4767 kB/s
47.236.146.249,80,false,SIN,Asia Pacific,Singapore,229 ms,4761 kB/s
47.236.174.206,2052,false,SIN,Asia Pacific,Singapore,223 ms,4757 kB/s
47.236.202.91,8080,false,SIN,Asia Pacific,Singapore,230 ms,4749 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,222 ms,4744 kB/s
8.222.244.192,2052,false,SIN,Asia Pacific,Singapore,228 ms,4739 kB/s
47.237.92.26,80,false,SIN,Asia Pacific,Singapore,224 ms,4726 kB/s
47.236.145.85,2052,false,SIN,Asia Pacific,Singapore,247 ms,4721 kB/s
47.236.180.51,2086,false,SIN,Asia Pacific,Singapore,215 ms,4703 kB/s
47.236.144.156,8880,false,SIN,Asia Pacific,Singapore,222 ms,4701 kB/s
47.236.169.15,80,false,SIN,Asia Pacific,Singapore,226 ms,4700 kB/s
47.237.8.82,2082,false,SIN,Asia Pacific,Singapore,223 ms,4698 kB/s
47.236.150.13,2086,false,SIN,Asia Pacific,Singapore,224 ms,4681 kB/s
47.237.8.82,8880,false,SIN,Asia Pacific,Singapore,223 ms,4674 kB/s
47.236.158.158,2082,false,SIN,Asia Pacific,Singapore,225 ms,4673 kB/s
47.237.94.140,2095,false,SIN,Asia Pacific,Singapore,238 ms,4673 kB/s
47.236.170.54,2052,false,SIN,Asia Pacific,Singapore,240 ms,4671 kB/s
47.236.180.51,8080,false,SIN,Asia Pacific,Singapore,236 ms,4670 kB/s
47.236.167.231,80,false,SIN,Asia Pacific,Singapore,224 ms,4670 kB/s
47.236.149.107,2095,false,SIN,Asia Pacific,Singapore,229 ms,4669 kB/s
47.236.169.164,2086,false,SIN,Asia Pacific,Singapore,242 ms,4657 kB/s
47.237.95.156,2052,false,SIN,Asia Pacific,Singapore,237 ms,4652 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,224 ms,4648 kB/s
47.237.94.140,2052,false,SIN,Asia Pacific,Singapore,244 ms,4646 kB/s
47.237.95.140,2082,false,SIN,Asia Pacific,Singapore,229 ms,4646 kB/s
47.236.171.205,8880,false,SIN,Asia Pacific,Singapore,221 ms,4642 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,249 ms,4635 kB/s
47.236.158.158,80,false,SIN,Asia Pacific,Singapore,224 ms,4633 kB/s
8.218.243.95,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,4632 kB/s
47.236.146.249,2082,false,SIN,Asia Pacific,Singapore,244 ms,4629 kB/s
47.237.94.140,2086,false,SIN,Asia Pacific,Singapore,241 ms,4628 kB/s
47.236.144.208,2052,false,SIN,Asia Pacific,Singapore,257 ms,4628 kB/s
47.236.180.51,8880,false,SIN,Asia Pacific,Singapore,222 ms,4624 kB/s
47.237.95.146,2095,false,SIN,Asia Pacific,Singapore,222 ms,4623 kB/s
47.237.10.1,8880,false,SIN,Asia Pacific,Singapore,235 ms,4618 kB/s
47.236.205.188,2052,false,SIN,Asia Pacific,Singapore,242 ms,4615 kB/s
47.236.87.246,8880,false,SIN,Asia Pacific,Singapore,234 ms,4614 kB/s
8.219.237.250,2086,false,SIN,Asia Pacific,Singapore,227 ms,4613 kB/s
47.237.14.220,2052,false,SIN,Asia Pacific,Singapore,240 ms,4596 kB/s
47.236.83.239,2082,false,SIN,Asia Pacific,Singapore,225 ms,4590 kB/s
47.236.171.205,2082,false,SIN,Asia Pacific,Singapore,241 ms,4584 kB/s
47.236.171.205,80,false,SIN,Asia Pacific,Singapore,240 ms,4578 kB/s
47.236.9.152,2086,false,SIN,Asia Pacific,Singapore,220 ms,4574 kB/s
47.237.11.182,8080,false,SIN,Asia Pacific,Singapore,224 ms,4572 kB/s
47.236.170.54,8080,false,SIN,Asia Pacific,Singapore,222 ms,4570 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,231 ms,4559 kB/s
47.236.237.90,2052,false,SIN,Asia Pacific,Singapore,236 ms,4557 kB/s
47.236.123.133,2086,false,SIN,Asia Pacific,Singapore,245 ms,4541 kB/s
47.236.165.25,8880,false,SIN,Asia Pacific,Singapore,223 ms,4528 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,226 ms,4515 kB/s
47.236.5.223,2095,false,SIN,Asia Pacific,Singapore,242 ms,4505 kB/s
8.222.150.197,8880,false,SIN,Asia Pacific,Singapore,236 ms,4500 kB/s
47.236.146.249,2052,false,SIN,Asia Pacific,Singapore,228 ms,4494 kB/s
