IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.251.74.226,80,false,LAX,North America,Los Angeles,181 ms,10069 kB/s
8.219.142.191,2086,false,SIN,Asia Pacific,Singapore,226 ms,9694 kB/s
8.219.142.191,80,false,SIN,Asia Pacific,Singapore,244 ms,9464 kB/s
47.236.9.152,80,false,SIN,Asia Pacific,Singapore,241 ms,8975 kB/s
47.236.172.95,80,false,SIN,Asia Pacific,Singapore,239 ms,8679 kB/s
8.219.122.55,2095,false,SIN,Asia Pacific,Singapore,257 ms,8497 kB/s
8.219.106.156,2052,false,SIN,Asia Pacific,Singapore,225 ms,8320 kB/s
47.236.237.90,2082,false,SIN,Asia Pacific,Singapore,228 ms,8312 kB/s
8.219.77.222,2082,false,SIN,Asia Pacific,Singapore,228 ms,8301 kB/s
47.236.172.71,2095,false,SIN,Asia Pacific,Singapore,220 ms,8291 kB/s
8.219.78.188,2086,false,SIN,Asia Pacific,Singapore,240 ms,8272 kB/s
47.236.180.51,8880,false,SIN,Asia Pacific,Singapore,219 ms,7812 kB/s
47.237.83.20,80,false,SIN,Asia Pacific,Singapore,231 ms,7729 kB/s
8.219.106.156,2082,false,SIN,Asia Pacific,Singapore,229 ms,7725 kB/s
47.236.149.107,8080,false,SIN,Asia Pacific,Singapore,226 ms,7546 kB/s
47.236.253.41,8080,false,SIN,Asia Pacific,Singapore,217 ms,7472 kB/s
47.236.253.41,2052,false,SIN,Asia Pacific,Singapore,224 ms,7471 kB/s
47.236.158.158,8080,false,SIN,Asia Pacific,Singapore,218 ms,7447 kB/s
47.237.95.13,2052,false,SIN,Asia Pacific,Singapore,218 ms,7434 kB/s
47.236.172.95,8080,false,SIN,Asia Pacific,Singapore,256 ms,7417 kB/s
47.236.172.71,2052,false,SIN,Asia Pacific,Singapore,230 ms,7365 kB/s
47.237.95.156,80,false,SIN,Asia Pacific,Singapore,241 ms,7332 kB/s
8.219.77.222,80,false,SIN,Asia Pacific,Singapore,238 ms,7310 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,256 ms,7254 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,248 ms,7209 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,217 ms,7130 kB/s
8.219.235.164,80,false,SIN,Asia Pacific,Singapore,217 ms,7041 kB/s
8.219.235.164,2095,false,SIN,Asia Pacific,Singapore,225 ms,6964 kB/s
8.219.77.222,2052,false,SIN,Asia Pacific,Singapore,229 ms,6875 kB/s
8.219.77.222,2086,false,SIN,Asia Pacific,Singapore,227 ms,6847 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,217 ms,6827 kB/s
47.236.5.223,2095,false,SIN,Asia Pacific,Singapore,226 ms,6786 kB/s
